animal_id,body_weight_g,blood_glucose_mmolL,locomotor_activity
1,20.906,5.6715,1588.2242
2,25.7171,9.0495,1449.2557
3,25.88,5.6316,1762.295
4,30.4368,8.5184,1096.9086
5,28.3404,6.1638,1213.1819
6,26.4275,8.3034,2651.6988
7,,9.1017,1285.031
8,20.2449,8.8229,1361.2858
9,22.441,4.7653,2534.7654
10,21.2937,8.4073,2962.0269
11,23.4408,6.4906,1331.3733
12,19.4933,6.5342,1652.7004
13,27.5406,8.6455,1936.6222
14,24.1111,5.2701,2491.4791
15,,7.8494,1405.2572
16,20.9377,8.5543,1701.8889
17,,4.9632,2110.935
18,28.3525,10.0105,1973.9064
19,32.9869,5.2632,1649.5376
20,36.6554,,1746.4708
21,26.6576,5.4019,1250.0417
22,21.0418,7.6219,1704.7305
23,16.4718,6.3445,
24,26.0708,5.5544,
25,21.7482,5.8864,1577.8691
26,23.3386,8.0625,1988.6154
27,,8.1075,2205.0863
28,24.4368,7.2116,1862.1717
29,29.2639,8.4024,1940.7026
30,25.6282,7.8626,1821.2621
