animal_id,body_weight_g,blood_glucose_mmolL,litter_number,locomotor_activity,body_temp_C
1,27.3505,7.1952,4.0,2118.5094,37.0984
2,23.3293,8.3695,1.0,1339.7441,37.4103
3,22.1066,7.1951,4.0,1312.2125,36.8031
4,30.169,7.5452,1.0,1670.8072,37.2606
5,26.9196,6.5331,3.0,1895.5348,36.8671
6,27.6805,6.8599,1.0,1603.9991,36.9412
7,19.8939,6.1723,2.0,2065.1362,37.4148
8,29.246,7.6906,3.0,1899.8779,36.0035
9,27.5905,5.7395,3.0,1894.637,36.3518
10,22.1135,7.5041,2.0,1793.9408,36.2589
11,24.3497,6.6284,4.0,2414.6786,35.8332
12,26.923,7.8541,4.0,1528.1934,36.6609
13,26.1836,7.4758,1.0,898.7672,37.3747
14,24.9774,8.4386,3.0,2161.489,36.8576
15,25.6378,7.4577,3.0,1439.8052,37.0989
16,25.1181,5.3852,2.0,1637.7582,37.5446
17,26.534,6.7397,3.0,2058.3427,37.6638
18,31.1502,5.7452,4.0,1039.2092,36.9654
19,17.0167,6.3335,4.0,1161.9235,37.6768
20,25.171,8.1601,4.0,1039.5527,37.0461
21,26.6178,7.3738,3.0,1322.0523,36.5813
22,27.036,6.171,2.0,1753.8728,36.7028
23,24.6983,5.8877,4.0,1783.4657,36.2597
24,19.8515,6.8295,2.0,1696.696,36.5559
25,27.148,5.7051,3.0,1105.5319,36.821
26,32.0457,6.196,2.0,791.4638,37.4018
27,20.6315,7.0808,2.0,1619.0238,37.8604
28,29.0234,7.8398,1.0,1434.8784,36.3089
29,24.8502,7.3479,4.0,1760.785,37.1964
30,25.7854,4.7378,1.0,1845.6838,36.4797
31,22.3149,7.0739,1.0,1648.3845,37.2373
32,24.8294,6.8648,4.0,1866.0466,36.9345
33,30.5502,7.1725,3.0,1680.224,36.0845
34,28.0393,8.2546,2.0,1785.5226,37.4641
35,32.0631,4.9431,3.0,1353.3644,36.6975
36,30.1209,6.268,2.0,1537.136,36.733
