animal_id,body_weight_g,blood_glucose_mmolL,corticosterone_ngmL,latency_s,open_arm_pct,locomotor_activity,body_temp_C,organ_weight_pct
1,22.721,9.2908,170.8701,,28.4935,1026.5126,37.6437,0.6133
2,24.3829,7.0721,170.5563,39.1883,48.826,1284.7011,,0.6923
3,28.7116,,183.6257,,29.2019,2357.5305,37.6403,0.9225
4,26.243,8.765,,92.2187,28.877,1827.1641,37.1048,0.6106
5,28.3146,5.51,155.2206,110.9866,23.3307,2045.2928,37.1811,
6,28.4477,4.569,127.0914,51.8946,33.1678,1186.9276,,
7,,5.9183,,21.2632,31.2509,1196.2089,37.2588,0.7535
8,25.6289,8.0587,207.3351,53.7903,37.5173,1901.5162,37.1242,0.7537
9,21.0926,4.3707,179.3097,54.2755,19.7868,1726.2234,,0.7359
10,31.2689,3.6508,160.6229,56.2015,20.6459,1946.9325,37.0795,0.8957
11,25.674,4.339,153.2314,37.7322,,1615.5481,37.0681,0.4293
12,31.4584,5.1981,,71.5912,32.908,,37.819,
13,28.5335,4.8566,130.6669,70.4901,39.9837,1771.1536,37.4577,0.9374
14,26.4754,10.457,291.1065,30.1119,20.4116,2049.9953,37.1046,0.6147
15,28.3951,4.8727,294.7568,73.9839,20.7523,2063.1537,37.1995,
16,34.8041,7.9751,195.206,101.0537,28.1408,971.0576,,0.6597
17,35.3079,8.6611,190.6972,63.4392,22.5424,688.7292,37.0188,0.6427
18,27.2775,5.5655,177.0421,53.2535,,2150.7854,36.667,
19,27.6408,5.5301,,57.1599,2.4822,2234.4763,37.0396,0.9213
20,,,221.4069,72.3051,,1240.7196,36.8016,0.9705
21,,5.4452,255.8638,25.3866,17.1758,863.0741,36.5999,0.7097
22,28.3323,,,63.2878,1.7964,1744.5657,37.3045,0.9786
23,26.8965,8.538,133.7847,52.1907,,2118.8772,37.2565,0.7543
24,28.2556,10.0196,210.8262,96.9565,15.8484,2508.9175,36.3853,0.9604
25,23.6665,8.4979,168.3136,56.5165,22.989,1932.3339,37.0509,0.7388
26,20.6417,,163.8383,93.3578,36.1297,,37.4983,0.7657
27,18.7081,9.4329,277.6808,37.9252,22.5494,1298.0912,37.5237,0.7939
28,22.5305,9.6103,170.7439,71.7452,14.6919,1705.1531,37.5103,1.1315
29,,4.289,170.5434,66.388,24.4305,1565.3309,37.1156,
30,25.8272,,151.9954,42.6191,35.4917,1243.2194,36.762,
31,34.7489,5.2674,170.5337,63.5479,15.2404,2621.94,36.6665,0.8663
32,31.424,5.0409,238.3426,,15.8943,2503.3258,37.2378,0.7066
33,23.1516,9.1882,125.9735,,30.5855,2211.2219,37.2517,0.6912
34,28.3908,5.7201,204.5566,26.1607,22.7846,1285.6173,37.6149,0.859
35,,5.5915,224.0785,59.6487,31.4748,2084.7587,37.54,0.7537
36,25.8625,8.3547,,41.9515,,1987.8319,37.0471,0.7834
37,27.7413,7.9739,120.5885,53.1532,32.0166,1899.1455,36.6023,0.7517
38,29.4767,9.5711,302.0568,58.3682,14.6492,2262.3494,36.9724,
39,25.643,9.1933,215.9861,25.887,24.8792,1985.917,37.1869,0.801
40,31.2554,8.5088,144.3646,27.6868,22.8931,2033.0064,,0.5176
41,22.4322,4.9456,,,12.8411,1986.6078,36.8688,0.83
42,27.0254,5.2096,146.1664,49.5456,9.3652,1853.3561,37.2012,0.6322
43,,4.2802,127.9785,8.7051,31.8575,897.375,36.8984,0.5769
44,27.8923,5.1519,125.1464,75.6969,21.4905,1737.6295,36.8488,0.743
45,32.7329,8.5043,264.4185,65.4474,14.7772,1449.7136,37.2246,0.7601
46,27.3661,6.0689,,45.7225,24.0382,1124.0716,36.9392,0.6668
47,29.3231,5.9984,168.7787,33.6634,36.2802,2456.8175,37.1976,0.8497
48,26.7729,4.798,180.3544,76.7162,2.1926,2478.0479,37.2093,0.5889
