animal_id,body_weight_g,blood_glucose_mmolL
1,20.7488,6.9317
2,30.8223,4.8928
3,30.2367,6.2164
4,30.8895,6.9106
5,19.3948,6.4456
6,32.9081,8.7199
7,21.7411,7.0186
8,22.9585,8.6173
9,23.5887,7.2679
10,29.8795,7.241
11,27.8561,7.1023
12,30.91,7.2042
13,32.8903,9.0907
14,20.2424,4.6484
15,29.6062,4.9983
16,27.7708,6.6025
17,19.8814,7.216
18,18.5414,7.9591
19,19.1711,7.7204
20,30.4536,6.7773
21,20.006,8.3209
22,35.6184,8.3332
23,21.3402,7.4025
24,32.8706,8.2589
25,21.5125,7.4999
26,20.7577,6.5824
27,17.5304,7.9676
28,22.8846,7.3217
29,30.2208,7.2015
30,16.6898,8.8202
31,27.2038,4.504
32,17.9579,5.6405
33,20.1043,5.8942
34,29.4466,6.8004
35,19.3263,6.9199
36,30.017,5.5419
37,31.5899,6.1163
38,30.3607,6.2531
39,20.8197,9.9032
40,21.2323,9.1819
41,33.1584,6.7471
42,19.2711,6.8001
43,15.6396,5.9359
44,20.0721,5.1011
45,32.2602,7.0714
46,31.2282,6.1024
47,31.1967,7.1067
48,31.0393,5.4398
49,18.9993,6.3618
50,31.4014,7.3635
51,18.9442,7.6028
52,28.4108,7.6592
53,21.9723,5.7475
54,31.6804,8.1402
55,21.6114,6.3198
56,21.3548,7.8961
57,18.0904,7.1883
58,21.9478,5.686
59,21.3971,6.8522
60,30.158,7.6019
61,18.4754,7.8743
62,29.2775,7.0449
63,18.9247,8.885
64,28.0227,8.3083
65,18.0887,6.9177
66,30.0062,8.0251
67,28.5004,9.3272
68,19.5919,9.3565
69,29.6316,5.8492
70,24.8903,6.1808
71,17.2454,8.8334
72,29.8031,6.0359
