animal_id,body_weight_g,blood_glucose_mmolL,corticosterone_ngmL,locomotor_activity,body_temp_C,litter_number
1,21.3873,5.808,134.5142,2375.6117,37.4651,5.0
2,25.569,5.1402,88.4382,1925.3994,37.0891,5.0
3,,5.9596,143.6114,891.4884,37.2642,5.0
4,27.488,7.1956,224.7447,,36.8137,1.0
5,24.7472,5.6955,130.7183,2076.7414,36.5967,3.0
6,24.6289,5.4502,111.2086,1372.4635,37.5828,2.0
7,24.4383,,228.1334,1120.5305,37.0045,5.0
8,23.6025,5.9376,139.5192,1985.6597,37.1633,4.0
9,,5.7344,129.1988,1115.1093,,2.0
10,29.4876,5.9024,141.1265,1979.2023,36.877,3.0
11,32.4338,,88.4507,2264.5595,37.2478,4.0
12,25.5546,5.646,122.2448,1969.9829,37.0811,3.0
13,27.0702,5.4215,108.7773,959.1861,37.4134,3.0
14,24.4322,7.8492,269.0726,901.6689,37.4358,1.0
15,14.7415,8.0253,286.7723,883.8697,37.3963,3.0
16,21.11,5.8385,135.6568,1138.9341,37.3716,2.0
17,18.9469,6.4837,,2465.0293,37.7733,5.0
18,16.7511,6.0724,159.1226,2266.058,36.9797,5.0
19,22.0232,6.3909,172.8116,998.2411,37.2835,4.0
20,34.6248,,212.5739,1102.64,37.6398,1.0
21,27.7778,7.16,223.0379,1778.5615,37.6794,5.0
22,34.4528,5.6223,125.0588,1445.9464,36.8735,2.0
23,30.0549,5.3817,109.0343,2599.5028,37.2063,3.0
24,31.9128,,204.9614,1252.1875,37.7074,5.0
25,23.4955,5.6104,117.8677,2213.5826,37.4524,5.0
26,30.6198,4.9399,73.0423,829.5682,37.3586,1.0
27,31.6436,6.3571,165.3531,2379.121,37.2347,2.0
28,25.1168,5.2102,89.3477,,37.1849,4.0
29,30.7977,5.744,127.3883,1863.5347,37.3865,3.0
30,30.8309,4.8914,65.6446,,37.2243,2.0
31,25.2522,6.1345,158.4282,956.5548,37.2872,3.0
32,22.3862,7.601,250.5248,2462.4051,37.3236,5.0
33,22.0794,4.9954,79.3692,,37.0966,2.0
34,28.4325,6.6891,193.5911,1280.2373,37.4596,4.0
35,29.635,5.8346,130.2462,1036.2628,38.1743,4.0
36,24.0374,6.7894,198.3689,817.7113,36.7669,5.0
37,28.1329,5.0471,79.6473,1164.8854,37.3972,2.0
38,30.8527,7.7827,262.8736,2162.3232,37.0719,2.0
39,31.091,7.1919,228.2708,1130.9319,37.4732,3.0
40,35.7594,5.6735,,2415.7758,37.314,
41,,5.8995,137.0517,2439.704,,3.0
42,22.9935,5.1741,90.4879,814.2022,37.6527,4.0
43,36.4179,4.9705,75.3859,,37.3577,4.0
44,25.3451,5.749,133.6649,2323.4563,,2.0
45,33.2244,7.1315,220.5202,2311.072,36.5967,4.0
46,28.3399,5.7427,124.9514,983.3102,37.7771,2.0
47,25.9393,6.078,156.6947,912.0025,37.4125,3.0
48,18.9615,6.6096,187.2803,408.8762,37.6234,1.0
49,27.1422,5.5725,118.7913,2601.7511,36.934,2.0
50,20.2031,7.4158,237.5475,2008.1144,37.0508,5.0
51,32.8365,5.1745,87.5204,2349.8446,,3.0
52,35.584,5.8954,143.6567,1072.1183,37.2949,4.0
53,24.0154,5.8729,136.1415,2013.9471,37.3849,1.0
54,29.5099,5.9783,145.8041,1287.7411,37.6254,4.0
55,24.373,6.5872,186.0104,2147.82,36.7704,2.0
56,24.8576,6.4633,178.1139,1058.0081,37.5921,4.0
57,31.8725,6.4094,175.6284,2247.3911,37.3025,5.0
58,27.8073,5.4002,105.7659,2179.0084,37.2389,3.0
59,36.6982,5.5624,118.2307,938.6869,36.8587,1.0
60,25.5888,6.2672,161.6505,881.356,37.4509,3.0
61,32.9967,5.2489,90.3961,1843.8524,36.5758,1.0
62,28.4871,5.1579,88.9127,1101.9796,37.4945,3.0
63,31.9789,6.9307,211.8485,2310.2383,36.8524,
64,25.7642,6.608,184.4216,2279.1018,37.316,4.0
65,27.7522,5.9619,140.5596,1886.5883,37.2642,2.0
66,27.4225,7.2008,228.4263,977.158,37.6509,2.0
67,23.8197,,64.3392,1459.9178,37.2464,1.0
68,31.3104,6.2824,,1018.1485,37.0918,5.0
69,31.2512,5.7726,134.3547,1924.8173,37.148,5.0
70,30.9678,5.8527,135.1639,1071.4639,37.6819,5.0
71,35.6848,5.7374,131.5597,,37.4609,1.0
72,35.2467,7.7434,268.0161,855.0778,37.1843,2.0
73,26.1253,,88.3255,2361.8243,37.2291,5.0
74,29.8653,7.1292,218.644,1091.9412,36.8298,3.0
75,24.882,9.0955,354.332,2121.592,37.4165,1.0
76,28.1168,,144.5948,2227.9849,36.7721,1.0
77,25.0013,5.1098,87.0236,2036.685,37.5255,
78,36.1004,5.3583,102.6295,1970.6336,37.3386,5.0
79,29.8185,5.204,94.4242,2011.9558,38.0161,1.0
80,26.9099,7.7368,258.6748,2073.0374,36.97,5.0
81,33.9681,5.3218,101.2856,1021.8971,37.2692,4.0
82,17.1469,5.8868,143.5239,2232.4119,37.8395,5.0
83,17.9295,7.1214,219.7291,2345.9431,37.6574,5.0
84,31.9792,5.096,77.4737,1882.5803,37.0911,2.0
85,,6.042,147.009,2205.0257,,5.0
86,29.2522,5.9538,146.0116,2156.0128,37.3006,1.0
87,21.368,6.0903,148.7606,2268.3017,37.3846,2.0
88,27.8838,5.6054,121.6988,708.5724,37.0904,2.0
89,38.0175,5.8389,136.3297,921.8645,37.2732,1.0
90,32.121,5.9355,144.3327,1341.1705,36.8206,1.0
91,28.8485,5.2603,98.8002,1089.9957,,1.0
92,25.8047,6.4152,173.5552,1112.6626,,1.0
93,26.0271,6.2476,165.449,1022.9169,37.2318,2.0
94,17.354,5.8584,141.8385,1065.9887,36.8155,1.0
95,29.2882,5.6903,127.2062,,37.5966,1.0
96,32.2274,6.9542,206.7141,838.1027,37.4094,5.0
