animal_id,body_weight_g,blood_glucose_mmolL,litter_number,locomotor_activity,body_temp_C,grip_strength_g,corticosterone_ngmL,latency_s,open_arm_pct,plasma_insulin_ngmL,body_fat_pct,rotarod_latency_s
1,21.3925,8.0403,2.0,1653.5701,37.3165,210.3206,157.2676,41.5903,34.1812,0.7885,17.3473,103.5599
2,25.2465,5.5991,4.0,994.8933,37.3285,103.9999,130.1491,43.6225,14.8965,0.6675,17.351,129.6174
3,20.8833,7.4799,4.0,1598.6403,37.3714,111.7632,182.3291,66.0922,12.0704,0.9232,15.1584,82.9986
4,22.2784,8.0377,4.0,1353.5524,36.932,118.2042,196.6924,13.1122,37.7796,0.9006,23.9154,81.0712
5,22.7947,6.5346,3.0,1176.4977,38.0545,112.3129,107.2104,21.4985,32.681,0.5146,20.3145,131.7157
6,21.3,6.9812,1.0,2761.18,37.2055,99.5193,74.15,49.9468,14.1003,0.3118,16.5488,111.3592
7,21.3184,5.2937,2.0,2036.4313,36.2619,39.5944,209.8048,82.898,29.9457,0.974,23.2342,38.6582
8,24.495,7.1134,2.0,2089.8438,36.6489,114.0896,151.6098,47.1569,9.9585,0.7196,17.7582,63.2382
9,20.7415,6.0492,4.0,1745.4888,36.3168,139.8195,136.6595,56.8169,31.6947,0.6655,14.374,145.0371
10,27.9474,7.0597,3.0,1813.5645,37.1078,112.2169,134.3612,75.4082,13.2631,0.6422,24.0849,112.0578
11,21.7879,5.651,3.0,2382.2753,37.0452,189.9322,170.1821,92.9239,7.8559,0.872,17.8516,77.1341
12,34.8335,7.3343,1.0,1883.8314,36.8892,128.428,136.9916,44.6167,36.9238,0.6681,18.3644,94.8877
13,23.4202,7.7196,4.0,2165.347,38.0049,169.3129,98.0528,54.6969,15.594,0.4574,20.1647,100.3971
14,25.2521,6.2735,2.0,1801.9979,37.347,136.3655,248.0098,87.797,35.054,1.1661,24.5704,122.072
15,20.4663,5.9905,1.0,1728.9236,37.4267,154.445,261.1948,27.6004,13.6431,1.2709,20.0801,59.2521
16,30.9713,5.1752,4.0,1196.5429,36.681,136.9357,114.4147,73.4965,32.1165,0.5173,15.2035,74.7715
17,28.9183,6.6869,1.0,911.1255,36.6504,171.8011,199.6674,36.6703,32.7526,0.9834,22.1755,108.1887
18,26.0392,6.4347,1.0,1769.219,37.1166,129.7901,119.274,56.8445,18.4553,0.5785,18.06,97.005
19,20.2862,5.6592,1.0,1928.2483,37.1779,143.8759,158.1065,50.6329,34.4573,0.7417,27.5517,117.1558
20,25.7373,7.2624,2.0,1256.935,36.2647,139.7227,241.8365,37.7558,12.6781,1.1916,19.9955,63.1148
21,21.075,6.54,1.0,1882.7626,37.0189,118.7749,225.5497,37.3042,17.426,1.0849,11.0599,110.7139
22,30.1182,6.0394,4.0,1926.8763,37.1063,140.9594,91.6706,59.9755,13.8019,0.4203,21.4295,132.7475
23,27.8322,6.4563,3.0,821.996,37.0032,199.5004,72.4294,72.9197,38.378,0.3223,27.7784,114.6046
24,25.334,7.757,2.0,1442.4377,36.734,119.3473,213.6814,52.6647,37.8016,1.0173,26.3037,104.1734
25,16.4727,7.3823,1.0,2103.6319,36.8572,141.4229,139.5333,56.262,33.7124,0.6737,27.3238,97.1235
